SrcIP;DstIP;SrcPort;DstPort;SNI;OrgName;JA3hash;JA4 hash;AppName;Type;JA3S hash;JA4S hash;Filename;Version
192.168.3.28;2.19.217.159;49454;443;help.apple.com;Network Architecture Role Account, AKAMAI-PA (EU);773906b0efdefa24a7f2b8eb6985bf37;t13d2014h1_a09f3c656075_14788d8d241b;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;2.22.112.154;64888;443;c.go-mpulse.net;Network Architecture Role Account, AKAMAI-PA (GB);cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;A;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;2.23.97.32;64873;443;ae04.alicdn.com;Network Architecture Role Account, AKAMAI-PA (EU);f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;216.239.38.223;64891;443;play.googleapis.com;Google LLC, GOOGLE;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;A;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;216.239.38.223;64893;443;play.googleapis.com;Google LLC, GOOGLE;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;A;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;216.239.38.223;64894;443;play.googleapis.com;Google LLC, GOOGLE;9c815150ea821166faecf80757d8826a;t13d171100_5b57614c22b0_3f5d972527c0;aliexpress;A;eb1d94daa7e0344597e756a1fb6e7054;t130200_1301_234ea6891581;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;23.203.124.132;64883;443;s.go-mpulse.net;Akamai Technologies, Inc., AKAMAI;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;A;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;23.236.112.179;64947;443;gcp-img.slatic.net;Zenlayer Inc, ZL-NET-001;f79b6bad2ad0641e1921aef10262856b;t13d1513h2_8daaf6152771_eca864cca44a;aliexpress;0;15af977ce25de452b96affa2addb1036;t130200_1302_a56c5b993250;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.110.44;64941;443;ae.mmstat.com;Alibaba Cloud LLC, AL-3;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;b898351eb5e266aefd3723d466935494;t1205h2_c02f_bec8bdbaef8a;tests/apps3/aliexpress_01-11-extracted.csv;0
192.168.3.28;47.246.110.44;64942;443;ae.mmstat.com;Alibaba Cloud LLC, AL-3;cd08e31494f9531f560d64c695473da9;t13d1516h2_8daaf6152771_e5627efa2ab1;aliexpress;0;b898351eb5e266aefd3723d466935494;t1205h2_c02f_bec8bdbaef8a;tests/apps3/aliexpress_01-11-extracted.csv;0
